# s Q0 Q2 Q4 Q6 Q8 Q10
2.341539380718529045e-02 9.997868194782997264e-01 1.092359225635102223e-07 4.151921118392761194e-07 2.736750921988683906e-07 3.011116252719374325e-07 2.189540724904827921e-08
2.373376123106136701e-02 9.997822803486917653e-01 1.122531557478477573e-07 4.266407047513477382e-07 2.812207862059031401e-07 3.094140811778358343e-07 2.249900421994098515e-08
2.405645733791497709e-02 9.997776971638591137e-01 1.153540878927143868e-07 4.384060765304743144e-07 2.889752389303719581e-07 3.179462443849162743e-07 2.311929624539650437e-08
2.438354098268829054e-02 9.997730694964374054e-01 1.185410553884053732e-07 4.504970363665159329e-07 2.969442544991782576e-07 3.267145019540762205e-07 2.375674733188620070e-08
2.471507182054475185e-02 9.997683969149210315e-01 1.218164604281674635e-07 4.629226401736470612e-07 3.051337995504425575e-07 3.357254197998514732e-07 2.441183447080341521e-08
2.505111031774929012e-02 9.997636789836232829e-01 1.251827728847754484e-07 4.756921975695963800e-07 3.135500078285479065e-07 3.449857477484037940e-07 2.508504800532904960e-08
2.539171776269645922e-02 9.997589152626349396e-01 1.286425322412729598e-07 4.888152790539736073e-07 3.221991849101770478e-07 3.545024247397350054e-07 2.577689200774369940e-08
2.573695627708853448e-02 9.997541053077839690e-01 1.321983495780225085e-07 5.023017233935443663e-07 3.310878130665136756e-07 3.642825841798191986e-07 2.648788466759826006e-08
2.608688882726556413e-02 9.997492486705950032e-01 1.358529096036501064e-07 5.161616451992751112e-07 3.402225562401902933e-07 3.743335594486821770e-07 2.721855869155716637e-08
2.644157923568950935e-02 9.997443448982468173e-01 1.396089728129759434e-07 5.304054428167086176e-07 3.496102652855079400e-07 3.846628895503334549e-07 2.796946171162266560e-08
2.680109219258448860e-02 9.997393935335304738e-01 1.434693775713429567e-07 5.450438062517764716e-07 3.592579831177198361e-07 3.952783249586168176e-07 2.874115671133105858e-08
2.716549326773531198e-02 9.997343941148066904e-01 1.474370423965342313e-07 5.600877255159841892e-07 3.691729502524665049e-07 4.061878335966004437e-07 2.953422245783426454e-08
2.753484892244643586e-02 9.997293461759639843e-01 1.515149682382957594e-07 5.755484991153480965e-07 3.793626103826541435e-07 4.173996070052182747e-07 3.034925394957701296e-08
2.790922652166349938e-02 9.997242492463742636e-01 1.557062408380075483e-07 5.914377428024931712e-07 3.898346161398773332e-07 4.289220666855089346e-07 3.118686287616458972e-08
2.828869434625969417e-02 9.997191028508500832e-01 1.600140331571264447e-07 6.077673985805953784e-07 4.005968350215155707e-07 4.407638706232775941e-07 3.204767809143777586e-08
2.867332160548916389e-02 9.997139065095997923e-01 1.644416078766244550e-07 6.245497439672057846e-07 4.116573554887811122e-07 4.529339200019985730e-07 3.293234610017549414e-08
2.906317844960974034e-02 9.997086597381839024e-01 1.689923199555842970e-07 6.417974015048439567e-07 4.230244932156666371e-07 4.654413661114799611e-07 3.384153155934719216e-08
2.945833598267730280e-02 9.997033620474686799e-01 1.736696193322943740e-07 6.595233486407468484e-07 4.347067976378466012e-07 4.782956174387952776e-07 3.477591779066581284e-08
2.985886627551409891e-02 9.996980129435830698e-01 1.784770535683615405e-07 6.777409277019394926e-07 4.467130584500054536e-07 4.915063469984851036e-07 3.573620731424541144e-08
3.026484237885337242e-02 9.996926119278708445e-01 1.834182707067038426e-07 6.964638563481850583e-07 4.590523125317616663e-07 5.050834998386501871e-07 3.672312239120299704e-08
3.067633833666272639e-02 9.996871584968450852e-01 1.884970221443825073e-07 7.157062382306114495e-07 4.717338509517282239e-07 5.190373007811208871e-07 3.773740558509403260e-08
3.109342919964865060e-02 9.996816521421415525e-01 1.937171656035364419e-07 7.354825739780193747e-07 4.847672261985172209e-07 5.333782623819306210e-07 3.877982033891195356e-08
3.151619103894462426e-02 9.996760923504717233e-01 1.990826681891332159e-07 7.558077724997277939e-07 4.981622596199246180e-07 5.481171931210376159e-07 3.985115156867669446e-08
3.194470095998537540e-02 9.996704786035751633e-01 2.045976095230073766e-07 7.766971625966834545e-07 5.119290490534164885e-07 5.632652058323201545e-07 4.095220627478726323e-08
