# s Q0 Q2 Q4 Q6 Q8 Q10
6.535055298586910089e-02 9.980968005368480167e-01 7.948599049133404145e-07 4.222365315965293227e-06 1.146181623313931237e-06 1.808220804493865293e-06 -2.170200228539989933e-07
6.623909184087668767e-02 9.980743191557662763e-01 8.171504920814110559e-07 4.340088931222372341e-06 1.178150503959989578e-06 1.858647915927125991e-06 -2.230684928580173043e-07
6.713971171526031401e-02 9.980516625151139021e-01 8.400728786762525649e-07 4.461120848601192407e-06 1.211018292464938501e-06 1.910492650793035849e-06 -2.292868446132214370e-07
6.805257686861129751e-02 9.980288292529166938e-01 8.636452320988660527e-07 4.585555021832921358e-06 1.244810538585476830e-06 1.963795289921776305e-06 -2.356798986933960506e-07
6.897785379387658122e-02 9.980058179966853071e-01 8.878862518645458806e-07 4.713488108286943755e-06 1.279553528050106002e-06 2.018597274003190027e-06 -2.422526142823694922e-07
6.991571124772466561e-02 9.979826273633328748e-01 9.128151855951822002e-07 4.845019547762317855e-06 1.315274304233755782e-06 2.074941237628939973e-06 -2.490100931317235735e-07
7.086632028132422434e-02 9.979592559590972911e-01 9.384518454139389778e-07 4.980251643855612135e-06 1.352000690258769940e-06 2.132871044143506799e-06 -2.559575837599555160e-07
7.182985427154131575e-02 9.979357023794563908e-01 9.648166249294043757e-07 5.119289647494671986e-06 1.389761311966192870e-06 2.192431821726501099e-06 -2.631004856522002610e-07
7.280648895256074116e-02 9.979119652090490122e-01 9.919305165957205297e-07 5.262241843349275358e-06 1.428585621210359792e-06 2.253670000213552818e-06 -2.704443537900259288e-07
7.379640244793725379e-02 9.978880430215902875e-01 1.019815129737379127e-06 5.409219638434336582e-06 1.468503920170242008e-06 2.316633349309869360e-06 -2.779949031281357704e-07
7.479977530308275224e-02 9.978639343797904848e-01 1.048492709126332126e-06 5.560337653340310781e-06 1.509547386379395436e-06 2.381371017934286213e-06 -2.857580132050956124e-07
7.581679051819496806e-02 9.978396378352692997e-01 1.077986153999340007e-06 5.715713816526403348e-06 1.551748098176640136e-06 2.447933574432023144e-06 -2.937397330752442324e-07
7.684763358163397562e-02 9.978151519284738091e-01 1.108319037792133316e-06 5.875469461042127163e-06 1.595139061238232791e-06 2.516373048281837314e-06 -3.019462861994975949e-07
7.789249250375253342e-02 9.977904751885903201e-01 1.139515628478884898e-06 6.039729424114617078e-06 1.639754235894161502e-06 2.586742973036551667e-06 -3.103840754822957585e-07
7.895155785118633529e-02 9.977656061334624349e-01 1.171600909393107300e-06 6.208622150088671890e-06 1.685628564898408108e-06 2.659098430207432973e-06 -3.190596886628027314e-07
8.002502278161052751e-02 9.977405432695021226e-01 1.204600600907788641e-06 6.382279795808441646e-06 1.732798002562710361e-06 2.733496094948474650e-06 -3.279799035556473350e-07
8.111308307896872294e-02 9.977152850916032323e-01 1.238541182564541502e-06 6.560838339726649436e-06 1.781299544215313693e-06 2.809994282596417497e-06 -3.371516937566375102e-07
8.221593718918115967e-02 9.976898300830562283e-01 1.273449916031357343e-06 6.744437693838222537e-06 1.831171256896429429e-06 2.888652996926015948e-06 -3.465822343091420660e-07
8.333378625633819370e-02 9.976641767154562634e-01 1.309354868766655117e-06 6.933221818930752954e-06 1.882452310961779005e-06 2.969533979833380705e-06 -3.562789075395177585e-07
8.446683415938599504e-02 9.976383234486174700e-01 1.346284938282586842e-06 7.127338843608363534e-06 1.935183012302130209e-06 3.052700762194687158e-06 -3.662493092498043847e-07
8.561528754931102547e-02 9.976122687304826986e-01 1.384269877288880293e-06 7.326941186473657651e-06 1.989404835844894853e-06 3.138218716534225798e-06 -3.765012549063588296e-07
8.677935588683004242e-02 9.975860109970323686e-01 1.423340319611104021e-06 7.532185681927518554e-06 2.045160460046599152e-06 3.226155111250490120e-06 -3.870427860128068188e-07
8.795925148059269283e-02 9.975595486721955396e-01 1.463527806764333639e-06 7.743233710093084187e-06 2.102493802051422897e-06 3.316579166119124764e-06 -3.978821768763947277e-07
8.915518952590333057e-02 9.975328801677558754e-01 1.504864815565575479e-06 7.960251329975477649e-06 2.161450054431640214e-06 3.409562109938678544e-06 -4.090279412641762348e-07
