# s Q0 Q2 Q4 Q6 Q8 Q10
2.753484892244643586e-02 9.998789665412057825e-01 1.719828839342625025e-07 4.201729187512719883e-07 1.599069319608886460e-07 3.459915515000632692e-07 1.679100193607165928e-07
2.790922652166349938e-02 9.998765790339283477e-01 1.767383887503453890e-07 4.317728389955706358e-07 1.643215624219877710e-07 3.555422587544722088e-07 1.725446831193423389e-07
2.828869434625969417e-02 9.998741649836792034e-01 1.816260181460984930e-07 4.436942878136373610e-07 1.688585583469308266e-07 3.653576421773061842e-07 1.773077734795296894e-07
2.867332160548916389e-02 9.998717240954467789e-01 1.866494684014816490e-07 4.559462288302480151e-07 1.735213310585122076e-07 3.754450782962275152e-07 1.822028691701174172e-07
2.906317844960974034e-02 9.998692560709424582e-01 1.918125402174286433e-07 4.685378776175618886e-07 1.783133877316798093e-07 3.858121508690382301e-07 1.872336494354828702e-07
2.945833598267730280e-02 9.998667606085650528e-01 1.971191416946675904e-07 4.814787087526792135e-07 1.832383342091089924e-07 3.964666567574506323e-07 1.924038968865025122e-07
2.985886627551409891e-02 9.998642374033614999e-01 2.025732914263914295e-07 4.947784633354818220e-07 1.882998776678071970e-07 4.074166119991190030e-07 1.977175004405997089e-07
3.026484237885337242e-02 9.998616861469922235e-01 2.081791216537688970e-07 5.084471564647599208e-07 1.935018295939840740e-07 4.186702580251823018e-07 2.031784583393218900e-07
3.067633833666272639e-02 9.998591065276928314e-01 2.139408815271603928e-07 5.224950850598719268e-07 1.988481087273510858e-07 4.302360680716975775e-07 2.087908812563852778e-07
3.109342919964865060e-02 9.998564982302340365e-01 2.198629404599850889e-07 5.369328358826157341e-07 2.043427441140307417e-07 4.421227537734702254e-07 2.145589954948193804e-07
3.151619103894462426e-02 9.998538609358872398e-01 2.259497915803219305e-07 5.517712937902588720e-07 2.099898782474374852e-07 4.543392719477092517e-07 2.204871462761064906e-07
3.194470095998537540e-02 9.998511943223820087e-01 2.322060552861981086e-07 5.670216502527980495e-07 2.157937702773042066e-07 4.668948315766872103e-07 2.265798011250657389e-07
3.237903711656973244e-02 9.998484980638692177e-01 2.386364828914064308e-07 5.826954119888205712e-07 2.217587994259143241e-07 4.797989009776521792e-07 2.328415533489853377e-07
3.281927872511473943e-02 9.998457718308791931e-01 2.452459604050510081e-07 5.988044101079693820e-07 2.278894682729929091e-07 4.930612152089920484e-07 2.392771256242390980e-07
3.326550607910352259e-02 9.998430152902840762e-01 2.520395123944718220e-07 6.153608092595229498e-07 2.341904063670655642e-07 5.066917836611319815e-07 2.458913736794317997e-07
3.371780056372962464e-02 9.998402281052545248e-01 2.590223059753048602e-07 6.323771171764264540e-07 2.406663738252443703e-07 5.207008978822608576e-07 2.526892900888365378e-07
3.417624467074045075e-02 9.998374099352204114e-01 2.661996549153522461e-07 6.498661944686654403e-07 2.473222650603208999e-07 5.350991396267352624e-07 2.596760081744383138e-07
3.464092201348251826e-02 9.998345604358298555e-01 2.735770238594199497e-07 6.678412647019019607e-07 2.541631126164217755e-07 5.498973891376805193e-07 2.668568060214633943e-07
3.511191734215130672e-02 9.998316792589048152e-01 2.811600326803197320e-07 6.863159247924696838e-07 2.611940910926473937e-07 5.651068336713263473e-07 2.742371106103429817e-07
3.558931655924840037e-02 9.998287660524014520e-01 2.889544609447087987e-07 7.053041555774544219e-07 2.684205212954135414e-07 5.807389762549124896e-07 2.818225020653546685e-07
3.607320673524882365e-02 9.998258204603650556e-01 2.969662525368750002e-07 7.248203329475157127e-07 2.758478742808154457e-07 5.968056447268605545e-07 2.896187180330325151e-07
3.656367612448138682e-02 9.998228421228877449e-01 3.052015203916856783e-07 7.448792390456560578e-07 2.834817757462303368e-07 6.133190010107345723e-07 2.976316581808537415e-07
3.706081418122499083e-02 9.998198306760652798e-01 3.136665513802606828e-07 7.654960739206515068e-07 2.913280104328808295e-07 6.302915506725589557e-07 3.058673888297203083e-07
3.756471157602369465e-02 9.998167857519496549e-01 3.223678113370453098e-07 7.866864674937894578e-07 2.993925266800476948e-07 6.477361527532512787e-07 3.143321477204334334e-07
