# s Q0 Q2 Q4 Q6 Q8 Q10
1.811609194200414219e-02 9.987620107465128294e-01 1.034045828438377513e-07 3.917634386695851427e-07 9.295478096635476663e-08 5.551376902793306787e-08 1.621403853560472438e-07
1.836240740309658462e-02 9.987301815155888995e-01 1.062532432838049270e-07 4.025482063286275733e-07 9.551407103912399884e-08 5.704254298938046328e-08 1.666035710072256738e-07
1.861207189258694966e-02 9.986981738344753445e-01 1.091806204389614590e-07 4.136306655207183307e-07 9.814401985799495450e-08 5.861353828725807810e-08 1.711899396695470168e-07
1.886513094554299538e-02 9.986659867086363773e-01 1.121888992282192274e-07 4.250190658301530363e-07 1.008465861192784352e-07 6.022792589135353028e-08 1.759029043869281503e-07
1.912163071615007037e-02 9.986336191380601468e-01 1.152803256099462796e-07 4.367218867549202530e-07 1.036237831329447814e-07 6.188690944492515626e-08 1.807459732996360297e-07
1.938161798612894268e-02 9.986010701172305382e-01 1.184572083028654447e-07 4.487478441658856910e-07 1.064776803579857162e-07 6.359172618423696170e-08 1.857227523149161843e-07
1.964514017326809622e-02 9.985683386350977520e-01 1.217219205560989251e-07 4.611058969495016659e-07 1.094104049814428830e-07 6.534364788428674930e-08 1.908369478534593298e-07
1.991224534007201771e-02 9.985354236750485502e-01 1.250769019697769024e-07 4.738052538392955837e-07 1.124241435423560868e-07 6.714398183147989319e-08 1.960923696738765910e-07
2.018298220252708053e-02 9.985023242148759470e-01 1.285246603354312727e-07 4.868553804699098211e-07 1.155211435532675168e-07 6.899407179956820708e-08 2.014929337793538086e-07
2.045740013898661794e-02 9.984690392267498993e-01 1.320677736915016167e-07 5.002660064905685907e-07 1.187037154128776344e-07 7.089529917659894463e-08 2.070426653977802632e-07
2.073554919917678166e-02 9.984355676771874410e-01 1.357088921105286607e-07 5.140471331638780616e-07 1.219742338801763165e-07 7.284908387610477504e-08 2.127457020645787669e-07
2.101748011332488231e-02 9.984019085270208205e-01 1.394507398666887723e-07 5.282090408972513616e-07 1.253351400865646317e-07 7.485688552373259408e-08 2.186062967755333946e-07
2.130324430141180420e-02 9.983680607313687450e-01 1.432961174996054059e-07 5.427622971304377190e-07 1.287889433557149614e-07 7.692020455219728429e-08 2.246288212378347864e-07
2.159289388255025699e-02 9.983340232396052949e-01 1.472479039709333946e-07 5.577177644204285447e-07 1.323382231258104044e-07 7.904058335293219466e-08 2.308177692124591352e-07
2.188648168449050871e-02 9.982997949953290595e-01 1.513090588824260010e-07 5.730866087555433131e-07 1.359856309263333815e-07 8.121960746047807893e-08 2.371777599512347624e-07
2.218406125325540421e-02 9.982653749363329387e-01 1.554826247579121136e-07 5.888803081077299071e-07 1.397338924115554199e-07 8.345890677090170163e-08 2.437135417323268294e-07
2.248568686290629282e-02 9.982307619945710586e-01 1.597717293905079496e-07 6.051106612279227611e-07 1.435858094518844224e-07 8.576015679494368182e-08 2.504299954961398955e-07
2.279141352544189481e-02 9.981959550961304606e-01 1.641795882572128499e-07 6.217897966924303355e-07 1.475442622849691589e-07 8.812507994703556153e-08 2.573321385849258697e-07
2.310129700083160542e-02 9.981609531611979058e-01 1.687095069707075013e-07 6.389301822363203291e-07 1.516122116797212216e-07 9.055544684682242893e-08 2.644251285911766415e-07
2.341539380718529045e-02 9.981257551040282339e-01 1.733648839641064167e-07 6.565446342122159551e-07 1.557927014072184197e-07 9.305307778115879218e-08 2.717142673067307037e-07
2.373376123106136701e-02 9.980903598329142756e-01 1.781492129256768767e-07 6.746463276020032429e-07 1.600888602891947499e-07 9.561984396003852923e-08 2.792050048024756317e-07
2.405645733791497709e-02 9.980547662501535466e-01 1.830660856327189972e-07 6.932488060307132033e-07 1.645039048011024246e-07 9.825766905794150961e-08 2.869029436067567422e-07
2.438354098268829054e-02 9.980189732520169388e-01 1.881191947015866774e-07 7.123659922099394836e-07 1.690411415004193824e-07 1.009685306740387479e-07 2.948138430123134718e-07
2.471507182054475185e-02 9.979829797287159687e-01 1.933123364499616152e-07 7.320121986505271606e-07 1.737039695744815924e-07 1.037544618594154128e-07 3.029436235042231476e-07
