# s Q0 Q2 Q4 Q6 Q8 Q10
1.964514017326809622e-02 9.998369687116324123e-01 1.329211277511592603e-07 2.312186960285210649e-07 8.638201843102318200e-08 1.588406479015654075e-07 5.425886700750612095e-05
1.991224534007201771e-02 9.998328621563454810e-01 1.365839867749711721e-07 2.375873397913468117e-07 8.876124934094976639e-08 1.632154487915284200e-07 5.575318135615992048e-05
2.018298220252708053e-02 9.998287167935865360e-01 1.403481035227248207e-07 2.441319183823780146e-07 9.120620434090371090e-08 1.677110927995438878e-07 5.728876884750350987e-05
2.045740013898661794e-02 9.998245322567833604e-01 1.442162902411711835e-07 2.508573129592612140e-07 9.371870685901339373e-08 1.723309321673934845e-07 5.886677426417270923e-05
2.073554919917678166e-02 9.998203081759026167e-01 1.481914378167451173e-07 2.577685409932725594e-07 9.630063112768137064e-08 1.770784126876435066e-07 6.048837433412446255e-05
2.101748011332488231e-02 9.998160441774202045e-01 1.522765179813782780e-07 2.648707600427647541e-07 9.895390374123160307e-08 1.819570763538161479e-07 6.215477862979169313e-05
2.130324430141180420e-02 9.998117398842868431e-01 1.564745855983960142e-07 2.721692717154687563e-07 1.016805050986128199e-07 1.869705640651019403e-07 6.386723049264443782e-05
2.159289388255025699e-02 9.998073949158930995e-01 1.607887810107102793e-07 2.796695257279807060e-07 1.044824709194840226e-07 1.921226184127570871e-07 6.562700798426164897e-05
2.188648168449050871e-02 9.998030088880401900e-01 1.652223324558520180e-07 2.873771240804056278e-07 1.073618938032987712e-07 1.974170865455062591e-07 6.743542486435801734e-05
2.218406125325540421e-02 9.997985814129031201e-01 1.697785585504813515e-07 2.952978253506990120e-07 1.103209248330841688e-07 2.028579231170656321e-07 6.929383159682855106e-05
2.248568686290629282e-02 9.997941120989968233e-01 1.744608708458070999e-07 3.034375491111454123e-07 1.133617752248249747e-07 2.084491933174583149e-07 7.120361638438010322e-05
2.279141352544189481e-02 9.997896005511425210e-01 1.792727764562493750e-07 3.118023804709820067e-07 1.164867180239484129e-07 2.141950759908690685e-07 7.316620623268740517e-05
2.310129700083160542e-02 9.997850463704316404e-01 1.842178807670976841e-07 3.203985747652298395e-07 1.196980898193096080e-07 2.200998668387969374e-07 7.518306804500856711e-05
2.341539380718529045e-02 9.997804491541921745e-01 1.892998902025584059e-07 3.292325622966337109e-07 1.229982926624660308e-07 2.261679817346633342e-07 7.725570974802638746e-05
